time,x,y,z,vx,vy,vz,roll,pitch,yaw,p,q,r
1.01,5.872229902095284,11.744459804190567,6.2561553953431694,4.193414491956134,8.386828983912268,4.214396624289778,0.0,0.0,0.0,0.0,0.0,0.0
1.02,5.913526648090126,11.827053296180251,6.297501075305036,4.129674599484191,8.259349198968382,4.134567996186585,0.0,0.0,0.0,0.0,0.0,0.0
1.03,5.954182044962996,11.908364089925993,6.338044048144691,4.065539687287096,8.131079374574192,4.054297283965568,0.0,0.0,0.0,0.0,0.0,0.0
1.04,5.994192342355897,11.988384684711795,6.377780178041506,4.00102973929015,8.0020594785803,3.9736129896815724,0.0,0.0,0.0,0.0,0.0,0.0
1.05,6.033553988689281,12.067107977378562,6.416705612585941,3.9361646333383513,7.872329266676703,3.8925434544435116,0.0,0.0,0.0,0.0,0.0,0.0
1.06,6.072263630062158,12.144527260124317,6.454816781101156,3.8709641372877357,7.741928274575471,3.8111168515214984,0.0,0.0,0.0,0.0,0.0,0.0
1.07,6.110318109113791,12.220636218227583,6.492110392896889,3.8054479051633043,7.610895810326609,3.7293611795732486,0.0,0.0,0.0,0.0,0.0,0.0
1.08,6.147714463847629,12.295428927695259,6.528583435456794,3.7396354733838266,7.479270946767653,3.6473042559906097,0.0,0.0,0.0,0.0,0.0,0.0
1.09,6.184449926418167,12.368899852836334,6.564233172560464,3.673546257053798,7.347092514107596,3.564973710367,0.0,0.0,0.0,0.0,0.0,0.0
1.1,6.220521921881395,12.44104384376279,6.599057142341329,3.607199546322806,7.214399092645612,3.4823969780865163,0.0,0.0,0.0,0.0,0.0,0.0
1.11,6.2559280669095205,12.511856133819041,6.633053155281683,3.5406145028125433,7.081229005625087,3.3996012940354117,0.0,0.0,0.0,0.0,0.0,0.0
1.12,6.290666168470637,12.581332336941275,6.666219292146049,3.47381015611168,6.94762031222336,3.3166136864366074,0.0,0.0,0.0,0.0,0.0,0.0
1.1300000000000001,6.324734222474025,12.64946844494805,6.698553901854127,3.406805400338797,6.813610800677594,3.2334609708078603,0.0,0.0,0.0,0.0,0.0,0.0
1.1400000000000001,6.358130412381761,12.716260824763522,6.730055599294569,3.3396189907735585,6.679237981547117,3.1501697440441583,0.0,0.0,0.0,0.0,0.0,0.0
1.1500000000000001,6.390853107787324,12.781706215574648,6.760723263080817,3.272269540556279,6.544539081112558,3.0667663786248793,0.0,0.0,0.0,0.0,0.0,0.0
1.16,6.4229008629618844,12.845801725923769,6.7905560332502795,3.204775517456033,6.409551034912066,2.9832770169462064,0.0,0.0,0.0,0.0,0.0,0.0
1.17,6.454272415368958,12.908544830737917,6.8195533089080715,3.137155240707425,6.27431048141485,2.899727565779236,0.0,0.0,0.0,0.0,0.0,0.0
1.18,6.4849666841481195,12.969933368296239,6.847714745816614,3.0694268779161273,6.138853755832255,2.8161436908542017,0.0,0.0,0.0,0.0,0.0,0.0
1.19,6.514982768568452,13.029965537136905,6.875040253932325,3.0016084420332634,6.003216884066527,2.732550811571161,0.0,0.0,0.0,0.0,0.0,0.0
1.2,6.54431994645244,13.08863989290488,6.9015299948907,2.9337177883987193,5.867435576797439,2.64897409583748,0.0,0.0,0.0,0.0,0.0,0.0
